著作姓名,著作网址,作品名称,作者,创作年代,作品出处,文学体裁,作品体裁,作品别名,书名,时间,类型,流传,来源,外文名,中文名,类别,年代,收藏地,临摹刻本,文物现状,物原属,别名,作品题材,成书年代,地区,孤以不德,政教凶勃,社稷倾覆,属性,地点,朝代
观沧海,https://baike.baidu.com/item/%E8%A7%82%E6%B2%A7%E6%B5%B7/1907220,"[""观沧海""]","[""曹操""]","[""东汉末年""]","[""《曹操集》""]","[""四言诗""]",,,,,,,,,,,,,,,,,,,,,,,,,
龟虽寿,https://baike.baidu.com/item/%E9%BE%9F%E8%99%BD%E5%AF%BF/2356846,"[""龟虽寿""]","[""曹操""]","[""东汉""]","[""《乐府诗集》""]",,"[""乐府诗""]","[""神龟虽寿""]",,,,,,,,,,,,,,,,,,,,,,,
述志令,https://baike.baidu.com/item/%E8%AE%A9%E5%8E%BF%E8%87%AA%E6%98%8E%E6%9C%AC%E5%BF%97%E4%BB%A4/890268,"[""述志令""]","[""曹操""]","[""汉末三国""]","[""《三国志·魏书·武帝纪》""]","[""散文""]",,"[""让县自明本志令""]",,,,,,,,,,,,,,,,,,,,,,,
蒿里行,https://baike.baidu.com/item/%E8%92%BF%E9%87%8C%E8%A1%8C/2356432,"[""蒿里行""]","[""曹操""]","[""东汉""]","[""《曹操集》""]","[""五言古诗""]",,,,,,,,,,,,,,,,,,,,,,,,,
孟德新书,https://baike.baidu.com/item/%E5%AD%9F%E5%BE%B7%E6%96%B0%E4%B9%A6/1056935,,"[""曹操""]",,,,,,"[""孟德新书""]","[""三国时期""]","[""兵法""]","[""失传""]","[""三国演义""]",,,,,,,,,,,,,,,,,,
典论,https://baike.baidu.com/item/%E5%85%B8%E8%AE%BA/3554176,"[""《典论》""]","[""曹丕""]","[""三国时代""]",,"[""论文""]",,,,,,,,"[""《典论·论文》""]",,,,,,,,,,,,,,,,,
燕歌行二首,https://baike.baidu.com/item/%E7%87%95%E6%AD%8C%E8%A1%8C/1113,"[""燕歌行二首""]","[""曹丕""]","[""三国·魏""]","[""《魏文帝集》""]",,"[""七言古诗""]",,,,,,,,,,,,,,,,,,,,,,,,
寡妇诗,https://baike.baidu.com/item/%E5%AF%A1%E5%A6%87%E8%AF%97/10951055,"[""寡妇诗""]","[""曹丕""]","[""魏晋时期""]","[""《曹丕集》""]",,"[""乐府诗""]",,,,,,,,,,,,,,,,,,,,,,,,
贺捷表,https://baike.baidu.com/item/%E8%B4%BA%E6%8D%B7%E8%A1%A8/9938036,"[""贺捷表""]",,"[""东汉建安二十四年""]","[""蜀""]",,,"[""戎路表""]",,,,,,,,,,,,,,,,,,,,,,,
宣示表,https://baike.baidu.com/item/%E5%AE%A3%E7%A4%BA%E8%A1%A8/9938021,,"[""钟繇""]",,,,,,,,,,,,"[""宣示表""]","[""小楷法帖""]","[""三国""]","[""故宫博物院""]","[""《淳化阁帖》"", ""《大观帖》""]",,,,,,,,,,,,
荐季直表,https://baike.baidu.com/item/%E8%8D%90%E5%AD%A3%E7%9B%B4%E8%A1%A8/9937963,,,,,,,,,,,,,,"[""荐季直表""]","[""字画""]",,,,"[""现存刻本""]","[""原属圆明园收藏""]",,,,,,,,,,
答临淄侯笺,https://baike.baidu.com/item/%E7%AD%94%E4%B8%B4%E6%B7%84%E4%BE%AF%E7%AC%BA/13881700,"[""答临淄侯笺""]","[""杨修""]",,"[""文选""]",,"[""笺文""]",,,,,,,,,,,,,,,,,,,,,,,,
节游赋,https://baike.baidu.com/item/%E3%80%8A%E8%8A%82%E6%B8%B8%E8%B5%8B%E3%80%8B/23640541,"[""《节游赋》""]","[""杨修""]","[""建安二十三年""]","[""《艺文聚类》卷二十八""]","[""赋""]",,,,,,,,,,,,,,,,,,,,,,,,,
神女赋,https://baike.baidu.com/item/%E7%A5%9E%E5%A5%B3%E8%B5%8B/22837558,"[""神女赋""]","[""杨修""]","[""三国""]","[""《艺文类聚》""]",,"[""赋""]",,,,,,,,,,,,,,,,,,,,,,,,
为袁绍檄豫州,https://baike.baidu.com/item/%E4%B8%BA%E8%A2%81%E7%BB%8D%E6%AA%84%E8%B1%AB%E5%B7%9E/4151893,"[""为袁绍檄豫州""]","[""陈琳""]","[""东汉末年""]","[""《陈记室集》""]",,"[""檄文""]",,,,,,,,,,,,,,,"[""为袁绍檄豫州文""]",,,,,,,,,
饮马长城窟行,https://baike.baidu.com/item/%E9%A5%AE%E9%A9%AC%E9%95%BF%E5%9F%8E%E7%AA%9F%E8%A1%8C/14085,"[""饮马长城窟行""]","[""佚名""]","[""汉代""]","[""《昭明文选》""]",,"[""汉乐府诗""]",,,,,,,,,,,,,,,,,,,,,,,,
武军赋,https://baike.baidu.com/item/%E6%AD%A6%E5%86%9B%E8%B5%8B/7255181,"[""武军赋""]","[""陈琳""]","[""东汉末年""]",,,"[""赋""]",,,,,,,,,,,,,,,,"[""赋""]",,,,,,,,
答杜挚,https://baike.baidu.com/item/%E7%AD%94%E6%9D%9C%E6%8C%9A/23668488,"[""答杜挚""]","[""毌丘俭""]","[""三国""]",,,"[""五言诗""]",,,,,,,,,,,,,,,,"[""咏物言志""]",,,,,,,,
承露盘赋,https://baike.baidu.com/item/%E6%89%BF%E9%9C%B2%E7%9B%98%E8%B5%8B/4234236,"[""承露盘赋""]","[""毌丘俭""]","[""三国""]",,"[""古散文""]",,,,,,,,,,,,,,,,,,,,,,,,,
罪状司马师表,https://baike.baidu.com/item/%E7%BD%AA%E7%8A%B6%E5%8F%B8%E9%A9%AC%E5%B8%88%E8%A1%A8/14082844,"[""罪状司马师表""]","[""毌丘俭""]","[""三国曹魏""]","[""《全三国文》""]","[""表""]",,,,,,,,,,,,,,,,,,,,,,,,,
嘲吴群臣,https://baike.baidu.com/item/%E5%98%B2%E5%90%B4%E7%BE%A4%E8%87%A3/49802849,"[""嘲吴群臣""]","[""费祎""]","[""魏晋""]",,,"[""四言诗""]",,,,,,,,,,,,,,,,,,,,,,,,
出师表,https://baike.baidu.com/item/%E5%87%BA%E5%B8%88%E8%A1%A8/82086,"[""出师表""]","[""诸葛亮""]","[""建兴五年（227年）""]","[""《三国志·诸葛亮传》卷三十五""]","[""表""]",,"[""前出师表""]",,,,,,,,,,,,,,,,,,,,,,,
后出师表,https://baike.baidu.com/item/%E5%90%8E%E5%87%BA%E5%B8%88%E8%A1%A8/6617449,"[""后出师表""]","[""诸葛亮（存疑）""]","[""三国时期""]","[""《默记》""]",,"[""表""]","[""后表、出师表""]",,,,,,,,,,,,,,,,,,,,,,,
诫子书,https://baike.baidu.com/item/%E8%AF%AB%E5%AD%90%E4%B9%A6/394,"[""诫子书""]","[""诸葛亮""]","[""三国时期""]","[""《诸葛亮集》""]","[""书信""]",,,,,,,,,,,,,,,,,,,,,,,,,
兵法二十四篇,https://baike.baidu.com/item/%E5%85%B5%E6%B3%95%E4%BA%8C%E5%8D%81%E5%9B%9B%E7%AF%87/8476997,,"[""诸葛亮""]",,,,,,"[""兵法二十四篇""]",,,,,,,"[""政治，军事，谋略""]",,,,,,,,"[""约公元三世纪初叶""]","[""中国""]",,,,,,
遗群臣书,https://baike.baidu.com/item/%E9%81%97%E7%BE%A4%E8%87%A3%E4%B9%A6/13981239,,,,,,,,,,,,,,"[""遗群臣书""]",,,,,,,,,,,"[""忝继先轨，处位历年""]","[""遂令百姓久困涂炭""]","[""宗庙无主，惭愧山积，没有余罪""]",,,
榻上策,https://baike.baidu.com/item/%E6%A6%BB%E4%B8%8A%E7%AD%96/2933858,,,,,,,,,"[""200年""]",,,,,"[""榻上策""]",,,,,,,,,,,,,,"[""治国对策""]","[""江东""]",
善哉行,https://baike.baidu.com/item/%E5%96%84%E5%93%89%E8%A1%8C/15874824,,"[""曹叡""]",,,,,,,,,,,,"[""善哉行""]",,,,,,,,,,,,,,,,"[""三国""]"
棹歌行,https://baike.baidu.com/item/%E6%A3%B9%E6%AD%8C%E8%A1%8C/34890,"[""棹歌行""]","[""曹叡""]","[""三国曹魏""]",,"[""五言诗""]",,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""《东观汉记》""]","[""班固、陈宗、尹敏、孟异、刘珍、李尤、刘騊駼""]","[""汉代""]","[""《东观记》""]","[""纪传体史书""]",,"[""《汉史》"", ""《汉记》""]",,,,,,"[""The  History  of  the  Dong Han""]",,,,,,,,,,,,,,,,,
